embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_uci,c_npmi,c_su,c_cu
sbert-lexrank-weighted,15,10,10,1048,176046,None,None,None,None,None,0.49812884447184663,0.6278337377153641
sbert-lexrank-weighted,15,20,10,658,177833,83809,0.46300323641350694,-1.3086428472223555,-2.128259077987193,0.015762836031554633,0.5020020379167325,0.6343584813043355
sbert-lexrank-weighted,15,20,20,494,165271,77032,0.46187841271979696,-1.214935738194318,-2.1332427161181524,0.018443856424604558,0.4989719804915368,0.6003169942811973
sbert-lexrank-weighted,15,50,10,338,166685,74029,0.42846877315478094,-1.1119058511209539,-2.378743527947312,0.009532387924278433,0.503969463787027,0.605599463949818
sbert-lexrank-weighted,15,50,25,286,161399,70730,0.4380295252487271,-1.0778146800865829,-2.429493590238708,0.006953543178798972,0.504876514078968,0.5963563175071567
sbert-lexrank-weighted,15,50,50,228,156457,67409,0.45116669314936075,-1.0158705654913562,-2.3874514648466034,0.013542702426181167,0.5172788246566592,0.5907449490395059
sbert-lexrank-weighted,15,100,1,214,120597,66849,0.42106459752148834,-0.8909783591384334,-2.6775702404749713,-0.008090924035831235,0.5359583495271408,0.5300528035174951
sbert-lexrank-weighted,15,100,10,172,137225,64466,0.410029427330853,-0.9100744278897215,-2.6775498827053736,-0.00207507449765396,0.5385277733846451,0.5621043291981072
sbert-lexrank-weighted,15,100,50,155,141932,63497,0.42784174519441787,-0.8857112410580734,-2.7207145562688635,-0.0030103468612354546,0.5396202300529487,0.570936685831016
sbert-lexrank-weighted,15,100,100,125,132242,61782,0.36726278704924165,-0.7887753872837819,-3.0865506229030477,-0.02146021089685272,0.542174335976786,0.558417008419579
sbert-lexrank-weighted,15,200,1,126,119555,60491,0.35847087761334046,-0.7629634742472784,-3.3317848168261874,-0.035684401104490206,0.5438062477190312,0.5367801512409514
sbert-lexrank-weighted,15,200,20,109,129936,60022,0.35874055384562564,-0.7738371645507627,-3.344294686639099,-0.030522900491439083,0.5370327868852459,0.5487184998547142
sbert-lexrank-weighted,15,200,100,94,129365,59740,0.3498580311682582,-0.706081641608602,-3.4153421184032395,-0.034936383226305226,0.5414251236780282,0.5533573283448967
sbert-lexrank-weighted,15,200,200,79,125240,59141,0.3666646868209663,-0.6332618887320954,-3.278381547972879,-0.02994290934196033,0.5196426071945132,0.5364206216207671
sbert-lexrank-weighted,20,10,10,958,183047,85386,0.4670060161518748,-1.4109458792957468,-2.208860876595335,0.005664644492451703,0.49106290080502113,0.6418721000605204
sbert-lexrank-weighted,20,20,10,570,170576,80357,0.46035519314477225,-1.2491107342561394,-2.1526890127070155,0.016340022659875553,0.4927796011108306,0.6107590610449454
sbert-lexrank-weighted,20,20,20,428,160220,74616,0.45571578744231633,-1.171137226144384,-2.2005487453635992,0.016661615941974028,0.5219120014896437,0.6040173654892822
sbert-lexrank-weighted,20,50,10,308,155995,72361,0.44037581039696344,-1.077259063966658,-2.351037716296184,0.011152384489118171,0.5192021276595745,0.5901453743962807
sbert-lexrank-weighted,20,50,25,236,146632,67762,0.43697250285008393,-1.0142736873804394,-2.4315208010683715,0.009556189031085403,0.5257937854476707,0.5758063997685668
