embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_su,c_cu
sbert-lexrank-weighted,15,20,20,494,165271,77032,0.46187841271979696,-1.214935738194318,0.4989719804915368,0.6003169942811973
sbert-lexrank-weighted,15,50,10,338,166685,74029,0.42846877315478094,-1.1119058511209539,0.503969463787027,0.605599463949818
sbert-lexrank-weighted,15,50,25,286,161399,70730,0.4380295252487271,-1.0778146800865829,0.504876514078968,0.5963563175071567
sbert-lexrank-weighted,15,50,50,228,156457,67409,0.45116669314936075,-1.0158705654913562,0.5172788246566592,0.5907449490395059
sbert-lexrank-weighted,15,100,1,214,120597,66849,0.42106459752148834,-0.8909783591384334,0.5359583495271408,0.5300528035174951
sbert-lexrank-weighted,15,100,10,172,137225,64466,0.410029427330853,-0.9100744278897215,0.5385277733846451,0.5621043291981072
sbert-lexrank-weighted,15,100,50,155,141932,63497,0.42784174519441787,-0.8857112410580734,0.5396202300529487,0.570936685831016
sbert-lexrank-weighted,15,100,100,125,132242,61782,0.36726278704924165,-0.7887753872837819,0.542174335976786,0.558417008419579
sbert-lexrank-weighted,20,10,10,958,183047,85386,0.4670060161518748,-1.4109458792957468,0.49106290080502113,0.6418721000605204
sbert-lexrank-weighted,20,20,10,570,170576,80357,0.46035519314477225,-1.2491107342561394,0.4927796011108306,0.6107590610449454
sbert-lexrank-weighted,20,20,20,428,160220,74616,0.45571578744231633,-1.171137226144384,0.5219120014896437,0.6040173654892822
sbert-lexrank-weighted,20,50,10,308,155995,72361,0.44037581039696344,-1.077259063966658,0.5192021276595745,0.5901453743962807
sbert-lexrank-weighted,20,50,25,236,146632,67762,0.43697250285008393,-1.0142736873804394,0.5257937854476707,0.5758063997685668
sbert-lexrank-weighted,20,50,50,210,152949,66749,0.41845471405327583,-1.0028862818607787,0.5076437388338476,0.5776041001405032
sbert-lexrank-weighted,20,100,1,219,134265,67100,0.4069305482630725,-0.9517853574150966,0.5225794797687862,0.54675796431365
sbert-lexrank-weighted,20,100,10,174,148987,64190,0.3849193200298944,-0.9428177004951688,0.519791768981436,0.5738506540537729
sbert-lexrank-weighted,20,100,50,136,137453,62370,0.4197384782409881,-0.8292909610697252,0.5313628296921853,0.5583295813593966
sbert-lexrank-weighted,20,100,100,128,146128,61784,0.38957506381331636,-0.8352425061119936,0.5136850643226317,0.5665949330331393
ma,5,None,None,None,None,None,None,None,None,None
ma,10,None,None,None,None,None,None,None,None,None
ma,15,None,None,None,None,None,None,None,None,None
ma,20,None,None,None,None,None,None,None,None,None
sbert-mean,5,10,10,2062,151790,None,None,None,0.5093700546933563,0.5663109448384449
sbert-mean,5,20,10,1063,141618,None,None,None,0.5066088299418605,0.54511677514392
sbert-mean,5,20,20,814,152206,90631,0.443656609398122,-1.3653223477060572,0.5071085998804047,0.5700104627628555
sbert-mean,5,50,10,471,138952,82458,0.44289826174501523,-1.1302945594809952,0.5055105997386943,0.5389388581825671
sbert-mean,5,50,25,379,139983,76535,0.4311396520294548,-1.0847132413951024,0.49432431881636063,0.5389153179422138
sbert-mean,5,50,50,306,137669,72235,0.4262394582960053,-1.0171466548767676,0.4987577280869013,0.5365340911451517
sbert-mean,5,100,1,290,108633,71075,0.4053471571649534,-0.9188778868576049,0.49752355294175626,0.4829955072615192
sbert-mean,5,100,10,251,129211,68833,0.41415680975276,-0.9548169261593807,0.4952842212592404,0.5172940470545782
sbert-mean,5,100,50,189,130519,65172,0.4136050407566802,-0.8985987973241285,0.503670827229907,0.5274550347906
sbert-mean,5,100,100,159,130629,63584,0.39611115578359923,-0.872294939688403,0.505895424048507,0.530588928869102
sbert-mean,10,10,10,1169,168708,None,None,None,0.5295497620909488,0.6221437149390495
sbert-mean,10,20,10,701,166099,85121,0.45602021572807677,-1.3040025033848757,0.5265431238679114,0.6155128966831247
sbert-mean,10,20,20,508,151029,77674,0.4628986546077776,-1.2005343019967254,0.5154961879377673,0.5766112703889078
sbert-mean,10,50,10,330,144545,73780,0.4382909339075483,-1.0450217112241567,0.5246430982690633,0.5687274531574731
sbert-mean,10,50,25,279,145866,70621,0.4364032868746319,-1.0409625770751334,0.5234324074524492,0.5718736882890446
sbert-mean,10,50,50,227,141800,67768,0.42637269078763784,-0.9945999504386263,0.521604909744623,0.5610922022251834
sbert-mean,10,100,1,266,134045,69818,0.4155199399205877,-0.9935293155615201,0.5099183418275516,0.5373409852946717
